decision_time,regime,previous_setpoint_c,recommended_setpoint_c,nominal_setpoint_c,action,horizon_hours,effective_energy_hours,baseline_energy_pred,measured_energy,estimated_saving_energy,saving_unit,reason
2026-04-29T18:00:00,heating,20.0,20.0,22.0,change,4,4,2007.0960046732805,2004.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-04-29T22:00:00,heating,20.0,20.0,22.0,change,4,4,2044.7885341275896,2048.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-04-30T02:00:00,heating,20.0,20.0,22.0,change,4,4,1988.8053992242328,1988.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-04-30T06:00:00,heating,20.0,20.0,22.0,change,4,4,1866.4826747509635,1865.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-04-30T10:00:00,heating,20.0,20.0,22.0,change,4,4,1945.986854827221,1952.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-04-30T14:00:00,heating,20.0,20.0,22.0,change,4,4,1928.061366734279,1919.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-04-30T18:00:00,heating,20.0,20.0,22.0,change,4,4,1803.705545222704,1795.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-04-30T22:00:00,heating,20.0,20.0,22.0,change,4,4,1824.66787934147,1827.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-01T02:00:00,heating,20.0,20.0,22.0,change,4,4,1399.1935245841275,1373.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-01T06:00:00,heating,20.0,20.0,22.0,change,4,4,1321.2910863820612,1322.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-01T10:00:00,heating,20.0,20.0,22.0,change,4,4,1577.581584777378,1587.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-01T14:00:00,heating,20.0,20.0,22.0,change,4,4,1648.5200917093266,1646.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-01T18:00:00,heating,20.0,20.0,22.0,change,4,4,1613.7741052847855,1609.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-01T22:00:00,heating,20.0,20.0,22.0,change,4,4,1616.5414443128934,1619.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-02T02:00:00,heating,20.0,20.0,22.0,change,4,4,1575.6179541703775,1581.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-02T06:00:00,heating,20.0,20.0,22.0,change,4,4,1467.1293339227514,1467.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-02T10:00:00,heating,20.0,20.0,22.0,change,4,4,1565.558003465868,1571.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-02T14:00:00,heating,20.0,20.0,22.0,change,4,4,1629.6065722491908,1625.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-02T18:00:00,heating,20.0,20.0,22.0,change,4,4,1656.9574804812996,1651.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-02T22:00:00,heating,20.0,20.0,22.0,change,4,4,1672.5001508299786,1670.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-03T02:00:00,heating,20.0,20.0,22.0,change,4,4,1659.1487636538718,1663.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-03T06:00:00,heating,20.0,20.0,22.0,change,4,4,1532.610068124107,1529.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-03T10:00:00,heating,20.0,20.0,22.0,change,4,4,1590.9613318533002,1594.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-03T14:00:00,heating,20.0,20.0,22.0,change,4,4,1674.2480808443936,1669.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-03T18:00:00,heating,20.0,20.0,22.0,change,4,4,1670.869807603216,1664.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-03T22:00:00,heating,20.0,20.0,22.0,change,4,4,1708.1858186338882,1711.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-04T02:00:00,heating,20.0,20.0,22.0,change,4,4,1707.2822373485988,1714.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-04T06:00:00,heating,20.0,20.0,22.0,change,4,4,1700.156246183341,1703.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-04T10:00:00,heating,20.0,20.0,22.0,change,4,4,1781.2653303575814,1788.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2026-05-04T14:00:00,heating,20.0,20.0,22.0,change,4,4,1885.329849391248,1886.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
