decision_time,regime,previous_setpoint_c,recommended_setpoint_c,nominal_setpoint_c,action,horizon_hours,effective_energy_hours,baseline_energy_pred,measured_energy,estimated_saving_energy,saving_unit,reason
2024-12-18 16:00:00,heating,20.0,20.0,22.0,change,4,4,1900.2517853731144,1918.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-18 20:00:00,heating,20.0,20.0,22.0,change,4,4,2028.959207114551,2016.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-19 00:00:00,heating,20.0,20.0,22.0,change,4,4,1976.7214676077333,1969.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-19 04:00:00,heating,20.0,20.0,22.0,change,4,4,2142.4897487090057,2154.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-19 08:00:00,heating,20.0,20.0,22.0,change,4,4,2065.862237328,2057.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-19 12:00:00,heating,20.0,20.0,22.0,change,4,4,1641.1078627065644,1630.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-19 16:00:00,heating,20.0,20.0,22.0,change,4,4,1674.440656976104,1677.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-19 20:00:00,heating,20.0,20.0,22.0,change,4,4,1404.603638083884,1376.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-20 00:00:00,heating,20.0,20.0,22.0,change,4,4,1271.4196031667936,1254.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-20 04:00:00,heating,20.0,20.0,22.0,change,4,4,1427.5095077558512,1434.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-20 08:00:00,heating,20.0,20.0,22.0,change,4,4,1534.8360463621214,1530.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
2024-12-20 12:00:00,heating,20.0,20.0,22.0,change,4,4,1259.117083257192,1252.0,58.172747115684444,Smc,riduzione richiesta termica | penalità processo
