regime,month,hour,chiller_kwh_h,gas_smc_h,active_chiller_count,chiller_forecast_pred_kwh_h,gas_forecast_pred_smc_h
cooling,5,0,972.0319354838709,191.96612903225807,3.064516129032258,968.9290562918794,192.6699373319597
cooling,5,1,986.9216129032258,192.91774193548386,3.064516129032258,979.5844907961865,194.4506848736586
cooling,5,2,962.3248387096775,198.58467741935485,3.064516129032258,958.2385812513087,198.924781070913
cooling,5,3,960.2374193548387,200.84274193548387,3.032258064516129,955.2692352455016,200.7704322992546
cooling,5,4,877.816935483871,204.10887096774192,2.9838709677419355,887.4802568437923,203.9291075518511
cooling,5,5,937.2254838709677,211.8991935483871,3.032258064516129,941.2818044183547,211.08340390268594
cooling,5,6,916.6925806451613,219.46548387096774,2.9838709677419355,925.5211316402946,218.05701203192785
cooling,5,7,965.3174193548388,225.72354838709677,2.9193548387096775,967.0874489916818,224.16847510242104
cooling,5,8,1119.9972580645162,217.88483870967744,3.2096774193548385,1109.7660575411185,217.45025602614348
cooling,5,9,1158.5753225806452,207.22354838709677,3.4516129032258065,1153.6234223883716,207.17741988520356
cooling,5,10,1212.7279032258066,194.61064516129034,3.403225806451613,1206.7889342071119,195.04272459559428
cooling,5,11,1236.9364516129033,182.09451612903226,3.338709677419355,1231.411206763038,183.06021547274835
cooling,5,12,1263.8962903225809,172.51387096774195,3.5,1267.8515622222556,173.31187812648383
cooling,5,13,1333.9401612903225,167.06451612903226,3.5483870967741935,1332.9658755950197,167.11535383037454
cooling,5,14,1318.3932258064517,163.8709677419355,3.4516129032258065,1317.6233462142789,163.68720574688788
cooling,5,15,1357.3914516129032,157.49193548387098,3.5483870967741935,1356.0017020823054,157.7521734996027
cooling,5,16,1341.5945161290322,156.54032258064515,3.5161290322580645,1340.7019234084967,156.36813565668206
cooling,5,17,1333.04,164.61290322580646,3.564516129032258,1332.9648946575408,163.61254208825892
cooling,5,18,1315.2579032258066,175.67741935483872,3.532258064516129,1315.3337304718773,174.66441989261378
cooling,5,19,1214.5477419354838,184.2741935483871,3.435483870967742,1221.5117246083043,183.5569623998388
cooling,5,20,1144.610806451613,194.10209677419354,3.3225806451612905,1153.337691550122,193.0406487738498
cooling,5,21,1096.5045161290323,192.47951612903225,3.274193548387097,1103.657439838512,193.03942322807578
cooling,5,22,1016.7485483870968,186.30209677419353,3.1774193548387095,1026.1940311630776,188.14496716097645
cooling,5,23,999.3951612903226,182.3290322580645,3.2580645161290325,1005.2489007623944,184.24710312864025
cooling,6,0,1504.556,149.43333333333334,4.233333333333333,1505.3136964482583,150.51599698417238
cooling,6,1,1416.6566666666665,153.6,4.1,1419.4605784229911,154.5767099162644
cooling,6,2,1386.7548333333334,154.68333333333334,3.9833333333333334,1385.1387112666912,155.29479868247634
cooling,6,3,1382.3121666666666,155.25,4.066666666666666,1381.9185444090451,155.67137868159296
cooling,6,4,1373.3606666666667,155.35,4.0,1375.3659254996062,155.59003358315593
cooling,6,5,1360.5981666666667,155.30833333333334,4.066666666666666,1367.3317008331971,155.33916129231483
cooling,6,6,1359.6909999999998,155.575,4.1,1366.7389253239376,155.33633901872523
cooling,6,7,1532.6586666666667,157.8,4.25,1522.275812348205,156.90104144234823
cooling,6,8,1625.7578333333333,158.55,4.333333333333333,1611.5762960744826,157.47704596283174
cooling,6,9,1671.1756666666665,153.96666666666667,4.333333333333333,1658.8663188865244,153.28519574310718
cooling,6,10,1741.4298333333334,148.91666666666666,4.45,1728.9888608539627,148.1711724525928
cooling,6,11,1795.8186666666666,133.65,4.4,1785.1964998002904,134.2358824730537
cooling,6,12,1839.5458333333333,133.25,4.483333333333333,1838.267118106625,132.52744011702592
cooling,6,13,1870.0833333333333,127.36666666666666,4.55,1870.0119393244054,127.25417182090119
cooling,6,14,1872.6435,130.1,4.566666666666666,1874.4845729958927,129.29063451429585
cooling,6,15,1902.2668333333336,120.43333333333334,4.633333333333334,1903.291465371065,120.77422178643442
cooling,6,16,1901.21,120.86666666666666,4.533333333333333,1899.629248900905,120.29719518023192
cooling,6,17,1887.1074999999998,122.35,4.516666666666667,1885.257638570911,122.11803016323697
cooling,6,18,1865.4306666666666,125.3,4.55,1863.7014004573628,125.36379040405404
cooling,6,19,1842.1626666666666,130.95,4.516666666666667,1837.8601990340478,130.89662228756683
cooling,6,20,1751.5951666666667,144.13333333333333,4.416666666666667,1754.5528490645427,142.87850753740628
cooling,6,21,1664.9571666666666,145.1,4.433333333333334,1674.7015050402488,145.62560436026712
cooling,6,22,1541.7168333333332,144.7,4.283333333333333,1556.9523644009819,145.60467203502847
cooling,6,23,1523.7048333333335,147.26666666666668,4.216666666666667,1530.9337686387562,147.77611211059588
cooling,7,0,1362.5175806451612,113.85483870967742,3.532258064516129,1362.560585264652,115.33988179425039
